seed,accuracy,mse,r_square,pcc
0,0.5494505494505495,0.012800672956710312,-10.874125093594065,-0.0995103719904458
1,0.43456543456543456,0.01335947253523188,-12.026490606543959,-0.14468305310118368
2,0.4145854145854146,0.018943441109437128,-2.1791833261612155,-0.1109113586650554
3,0.4725274725274725,0.015581199654777934,-3.017428489861058,-0.051030273577993994
4,0.4515484515484515,0.017332928444253014,-3.0743732604202467,-0.14997743847969422
5,0.4075924075924076,0.029001155891119967,-1.0894702749673884,-0.11102779657171177
6,0.6163836163836164,0.019107085953033284,-2.0840406503064193,-0.04900320124048316
7,0.5574425574425574,0.016023721670000584,-3.570416617647439,-0.11709186982333764
8,0.6043956043956044,0.015971573988721035,-3.5926477332607947,-0.05212722709688443
9,0.4925074925074925,0.01830233375913611,-2.6290375414575804,-0.13179628573677954
10,0.5964035964035964,0.013020319809257675,-10.733391961496828,-0.09644423812018961
11,0.4155844155844156,0.023518439532753725,-0.8900270419892178,0.0020264425231347034
12,0.43956043956043955,0.02094850312571937,-1.3271725940518797,-0.038744778854967
13,0.42857142857142855,0.013167758688721942,-8.483598434022515,-0.09275471217711691
14,0.5214785214785215,0.016343258499099695,-3.3461665665206413,-0.11004294897220242
15,0.5444555444555444,0.01268652208740345,-15.005540409170415,-0.1418329694340394
16,0.4095904095904096,0.016847781012369976,-2.6752415840624604,-0.08160269446012525
17,0.48451548451548454,0.016134388641613602,-3.368961878872671,-0.11004943825791526
18,0.6103896103896104,0.014368632034715632,-7.414782314040449,-0.17794575305841165
19,0.5214785214785215,0.016901816068853374,-1.844183309709865,0.05224472262357348
20,0.37962037962037964,0.0161370597166207,-6.759502302317222,-0.23934009025136507
21,0.4865134865134865,0.017333772583569496,-2.0910973367747157,-0.04370580389358887
22,0.44955044955044954,0.013120863017731271,-10.798076521377444,-0.1286607199699515
23,0.5204795204795205,0.014050207634089623,-5.484901836835174,-0.08102804115461447
24,0.5284715284715285,0.014205919230336659,-6.757742858857259,-0.1433514132353673
25,0.5944055944055944,0.01649147299763106,-3.636235779280348,-0.060072430178513984
26,0.5774225774225774,0.02099160237048253,-1.4896503825089438,-0.029331572769736865
27,0.3516483516483517,0.013539476746118604,-10.522267943856663,-0.06718130500568209
28,0.5474525474525475,0.01600402726954182,-3.0037457570914956,-0.044234484407496104
29,0.4485514485514486,0.015959159026674233,-3.565403945894957,-0.11090536493980757
30,0.45854145854145856,0.01848408383866517,-2.3896374699276453,-0.12882411680762643
31,0.45754245754245754,0.012832320825229959,-11.156025453737485,-0.0628388084551134
32,0.4305694305694306,0.020348386429540802,-2.122045589420738,-0.1289473250472413
33,0.5894105894105894,0.015491576891109733,-4.024084628287185,-0.10972587769658242
34,0.5774225774225774,0.014033586326393727,-7.235724013825552,-0.13236582785490736
35,0.5254745254745254,0.016066398610104254,-3.4930228821231903,-0.11670418275223149
36,0.4905094905094905,0.013676783311845511,-7.824715824016634,-0.13332882481043598
37,0.4865134865134865,0.01630307432070533,-3.3934961049933507,-0.11191128724101364
38,0.4125874125874126,0.014997910381410576,-11.113689098299885,-0.2242278998563016
39,0.4025974025974026,0.019639318526114863,-2.4379650463007914,-0.17629147405295315
40,0.6173826173826173,0.021709626136218203,-1.702905135014909,-0.14061130171431924
41,0.5364635364635365,0.01178303148883669,-12.277082740750373,0.03831834338900054
42,0.4745254745254745,0.016569408042391428,-2.8437226796472332,-0.0636679595747767
43,0.6693306693306693,0.01566925200359466,-2.0714904172643838,0.04471798883280998
44,0.5514485514485514,0.01696294997729942,-3.132933474743088,-0.10847416695841669
45,0.5934065934065934,0.016248637622143288,-4.479949673939582,-0.07845636900288777
46,0.41858141858141856,0.013781261151268116,-7.023145744568948,-0.11686748310434153
47,0.3966033966033966,0.013875229584567172,-7.020896254164846,-0.10940414756835765
48,0.5314685314685315,0.027739039014403992,-1.0695706880521434,-0.07777318543001381
49,0.5414585414585414,0.01608549805061158,-2.6202532789790722,-0.04408981687008253
50,0.6073926073926074,0.013433777749594398,-8.539407673791072,-0.114467540892275
51,0.3996003996003996,0.016676700758654836,-4.80871197490549,-0.09048706181012053
52,0.5064935064935064,0.014782143333394187,-3.184718912252664,-0.011532194412747594
53,0.3806193806193806,0.019208986700836126,-1.9467223523354407,-0.08700396037531236
54,0.6133866133866134,0.018360496687670817,-2.298708509715156,-0.10997102460315551
55,0.35864135864135865,0.014834047910350742,-4.210323928463482,-0.05750173401938614
56,0.6433566433566433,0.02025810052795883,-0.7729358013814935,0.14467265623475423
57,0.3996003996003996,0.02444244572613825,-2.089845374081739,-0.12538101026346854
58,0.5884115884115884,0.015377181374119914,-5.457476833460269,-0.14879132619626914
59,0.4825174825174825,0.016379044880657376,-2.9501960068224915,-0.0767221840159071
60,0.44155844155844154,0.022228762953758807,-1.6764336275648621,0.01331245738978885
61,0.32367632367632365,0.01834492099183484,-2.2503503620547245,-0.10198741818460105
62,0.36163836163836166,0.015522134230487303,-5.020666356721553,-0.17964857840271095
63,0.6293706293706294,0.014205388273148227,-1.7670158081851706,0.12981741396481966
64,0.33166833166833165,0.013658734132421793,-6.3272539536226535,-0.03225541397529327
65,0.5154845154845155,0.029086630863794375,-0.8043065323332628,-0.037812128618167115
66,0.5744255744255744,0.01326973190358748,-3.401159202506137,0.0703181905791375
67,0.5514485514485514,0.016683869911056366,-3.645737973567101,-0.13335377269164672
68,0.6433566433566433,0.015112471157148399,-4.9432652404385085,-0.14425073359606708
69,0.6013986013986014,0.020714377999543964,-1.0294885043981927,0.024446422648244065
70,0.4935064935064935,0.022412756050557283,-1.6095850198533452,-0.09626565458608675
71,0.4855144855144855,0.015130908229255273,-5.1970829496074,-0.15890211159815365
72,0.3756243756243756,0.019478486021143267,-3.8747967965760983,-0.19258497020779994
73,0.4245754245754246,0.015356887290921386,-7.436545061852728,-0.24124474277792493
74,0.5554445554445554,0.015371874608592555,-3.38426645394149,-0.05135820509417427
75,0.5114885114885115,0.014420865238970964,-1.8530073193064216,0.14288499282231942
76,0.5314685314685315,0.014997658787965157,-2.756788609460619,0.003209327340232774
77,0.4675324675324675,0.013939082277300653,-7.798396679348382,-0.08205141074377079
78,0.5044955044955045,0.02006340622469698,-1.9132849515832202,-0.1234767038614431
79,0.5104895104895105,0.014146523833110302,-7.0440225170231265,-0.1547815250411015
80,0.4885114885114885,0.02374703741191356,-0.9532788152525637,-0.015345387276227505
81,0.6443556443556444,0.011380041454416534,-12.32386003870172,0.08523188802146356
82,0.4825174825174825,0.015564727042976869,-3.7492925403231654,-0.10490103888005461
83,0.5274725274725275,0.01303932726953432,-12.92008537389495,-0.16554948671118638
84,0.5854145854145855,0.012519083335784576,-9.998990407062141,-0.03730728277991422
85,0.6023976023976024,0.013403546470799403,-11.95965486127183,-0.1737446789130929
86,0.5794205794205795,0.015839006065555876,-2.7828865447911006,-0.03337617054492361
87,0.5564435564435565,0.01498704410137665,-5.5817908376364,-0.12690917970145818
88,0.5784215784215784,0.022767620599008033,-1.115107802867624,-0.04216609477913231
89,0.5344655344655345,0.01573362137941449,-3.020469980768426,0.0025156070306431378
90,0.4785214785214785,0.018363423767485045,-1.383510179551915,0.019833187007306147
91,0.4145854145854146,0.014598353261931032,-5.0355564504959975,-0.11165063380399279
92,0.5764235764235764,0.013073642466908763,-7.538750337642266,-0.04971784167767871
93,0.5554445554445554,0.01316849918642827,-4.3216808069725605,0.03758534305761331
94,0.43656343656343655,0.016123990459673575,-2.8713405499383877,-0.0686501627545483
95,0.4945054945054945,0.0438951676111944,-0.38528070909740975,-0.021392505572053674
96,0.6113886113886113,0.01320578451485453,-11.677954684280753,-0.16807109753540175
97,0.4515484515484515,0.014956968699026801,-5.259298171760085,-0.14255093059522933
98,0.6203796203796204,0.018141212953435928,-1.5184203535014817,0.00854602759061201
99,0.5284715284715285,0.01447609536530223,-3.8348341654131843,-0.038321074377740225
ensemble_result,0.4905094905094905,0.012703285908575042,-15.505835881605915,-0.15569969542787385
meta_result,0.3756243756243756,0.025930983578290368,-1.1785206830602015,-0.1306339516932043
