seed,accuracy,mse,r_square,pcc
0,0.48151848151848153,0.007204863187889947,-4.951845333138263,0.14431581513566863
1,0.45754245754245754,0.007335347243104525,-21.31199444589805,-0.09967196008256299
2,0.5064935064935064,0.013818546792896085,-0.887083109666148,0.12339353230840303
3,0.46253746253746253,0.006766514409467133,-16.08321934177163,0.10031552564579792
4,0.5314685314685315,0.00678749313613601,-18.454200981079858,0.08776789340348505
5,0.5394605394605395,0.007246363985128788,-5.2194287998313795,0.1279228308060037
6,0.5814185814185814,0.006979361130698234,-22.672683001936562,0.03344344238071399
7,0.5284715284715285,0.008138300897392288,-8.570193016355502,-0.0863933510029288
8,0.5184815184815185,0.007209716544734265,-7.503229848459217,0.07919574320596406
9,0.47152847152847155,0.006991955899550072,-5.397004865901201,0.14825496433042595
10,0.5774225774225774,0.007790275521006347,-3.682068954188911,0.12700317749881646
11,0.4875124875124875,0.007275029916583429,-6.454144470720319,0.09952446082356707
12,0.5244755244755245,0.00720840268874966,-7.91599170707047,0.10016581534824548
13,0.46153846153846156,0.006833360404228207,-89.74252196004666,-0.04068595347855543
14,0.4595404595404595,0.0072497313743614036,-14.710228261143094,-0.013351441232012118
15,0.43956043956043955,0.006723676937648503,-36.584323887420275,0.07873166425589004
16,0.5274725274725275,0.008647696684060678,-2.5671038536945865,0.10225435157302643
17,0.4865134865134865,0.007116809780733376,-32.17098474974747,-0.08193068108834567
18,0.45354645354645357,0.007461727960499852,-7.815311744624465,0.040671306688910835
19,0.5244755244755245,0.006727763512129716,-18.514228025021527,0.12196198466288163
20,0.4435564435564436,0.01187694182296149,-3.5489532100750347,-0.16401689233029942
21,0.5404595404595405,0.007044826991913283,-10.41656602015986,0.10810163192274286
22,0.4805194805194805,0.0071284847431484395,-7.833101367962522,0.09763828195785026
23,0.46553446553446554,0.0071938762205408175,-9.527340067278047,0.04599346970859791
24,0.48151848151848153,0.00721694028007286,-6.595776653699193,0.08581416077351962
25,0.4805194805194805,0.007004567212165481,-13.223320737467047,0.05209968602964203
26,0.5544455544455544,0.007465589442847461,-9.764918072796526,-0.012041366879222106
27,0.46153846153846156,0.006987827494274684,-65.37436747668335,-0.08236366892959454
28,0.4755244755244755,0.006812205060680646,-36.01883152809621,0.0593113008862209
29,0.5454545454545454,0.00738194152035955,-10.7575385458216,-0.011384413159740446
30,0.5074925074925075,0.007243639275132618,-13.501493540308513,-0.009340221259558593
31,0.5384615384615384,0.00704363771291327,-8.65800243775381,0.13457204440392906
32,0.46653346653346656,0.00783747301937227,-4.626903771090725,0.08156353570569654
33,0.43356643356643354,0.006998732598491658,-73.88164543076587,-0.02104767756506174
34,0.4775224775224775,0.00723311499321688,-24.000039550140862,-0.03853943086642743
35,0.4825174825174825,0.008065426367075261,-3.167350831057889,0.13935160998762794
36,0.4775224775224775,0.0076853965311983385,-4.195318709193724,0.10438447866020875
37,0.45854145854145856,0.007255513680878736,-12.465861912637267,0.011975882907664725
38,0.46053946053946054,0.007021453869150993,-9.410883835813014,0.08757722828359651
39,0.4675324675324675,0.00676066854616426,-138.10839176988497,0.031501268679977795
40,0.5124875124875125,0.007552875835633374,-6.380294912698145,0.035433302219363486
