seed,accuracy,mse,r_square,pcc
0,0.6003996003996004,0.0026252417173610876,-2.5229635939880826,0.37249301677231167
1,0.5584415584415584,0.0027437034788681588,-14.835415721059908,0.2953663844751132
2,0.5454545454545454,0.004046046328732703,-3.658924680412495,0.30799096344078103
3,0.5504495504495505,0.002772378122567337,-11.264605270507586,0.25570737699987545
4,0.5694305694305695,0.002906419586546187,-13.708964583888378,0.15684677110107154
5,0.5704295704295704,0.0032442116953391013,-7.892206522217316,0.20125454843018337
6,0.5874125874125874,0.00594031019785678,-3.6563137960461107,0.425805181790204
7,0.5674325674325674,0.0027966339360294724,-4.400681703024365,0.30924154382466384
8,0.6243756243756243,0.0027922090979954056,-3.4065914723957427,0.30636535723843067
9,0.5644355644355644,0.00294455372567039,-16.074791340754462,0.247754020663601
10,0.6093906093906094,0.002584772912250616,-5.808835462944984,0.3571870138658832
11,0.6123876123876124,0.0027404281557818653,-8.42822226742856,0.35809271806573606
12,0.5404595404595405,0.003026903342379124,-25.04121398888793,0.07814204354429283
13,0.5644355644355644,0.0029929377983036478,-23.74197942142508,0.3664155047788571
14,0.6363636363636364,0.0024484899979080503,-3.5786144889345453,0.426222661141156
15,0.5744255744255744,0.002856680933818048,-17.946058204018716,0.17828458645015768
16,0.5874125874125874,0.0028309407681417777,-4.802983844797638,0.330917074669552
17,0.5854145854145855,0.0030623374969715803,-5.531058168869577,0.34803479728431436
18,0.5964035964035964,0.0028287324189111697,-2.8123397638160985,0.4260241917665251
19,0.6193806193806194,0.0026515286302006722,-10.220356742856858,0.3182782684793087
20,0.6293706293706294,0.0024961122856134283,-4.725070294282878,0.4409913169234675
21,0.6753246753246753,0.0025528799893286633,-2.103966153498023,0.39164152196945445
22,0.5904095904095904,0.003414961527391388,-4.282998644242196,0.4199410782736004
23,0.5814185814185814,0.0026691347953451978,-10.501455845942651,0.3085867859573459
24,0.5784215784215784,0.0029958065207890193,-7.956542206261089,0.18130373351857404
25,0.5814185814185814,0.0030960423000043528,-9.22793513332543,0.17581268868591332
26,0.6123876123876124,0.0026257102624087695,-5.551226433688131,0.3758874536315511
27,0.6263736263736264,0.0025696621789866084,-4.370955366893863,0.4072980755031209
28,0.6173826173826173,0.0027261907282388298,-4.654122144769998,0.387862143073741
29,0.5674325674325674,0.003229759239013765,-20.448147324067847,0.01872597826820742
30,0.5664335664335665,0.003023545589480481,-14.766379795741324,0.1531323406645983
31,0.5984015984015985,0.00305331516786287,-1.9802383385720699,0.39916812593505546
32,0.6153846153846154,0.002646548288236038,-4.819344110123034,0.37239525280486807
33,0.5384615384615384,0.0030955612616810776,-20.628982899983196,0.05050275226193762
34,0.6273726273726273,0.0027186724976725808,-2.5172987833996197,0.3820876800223658
35,0.5954045954045954,0.0026858659025570547,-8.541310111804242,0.33566514772241435
36,0.6053946053946054,0.0032081760776585017,-1.9276635087350895,0.447572550770694
37,0.6483516483516484,0.0024626674822618762,-6.978610608389809,0.43307028588240254
38,0.6273726273726273,0.0028672365837224723,-1.5136785614826862,0.4096568895791504
39,0.6233766233766234,0.00271782766780239,-2.5759042933883216,0.3489050242808419
