seed,accuracy,mse,r_square,pcc
0,0.5644355644355644,0.0032964965882289537,-10.892624693967164,0.3256670195427386
1,0.5694305694305695,0.0031328185554408104,-2.6871369411450967,0.22415395864993543
2,0.5984015984015985,0.0030911288505884407,-2.1152984460806925,0.38956174591796766
3,0.5784215784215784,0.003107026683871,-8.521837569637386,0.47555323389165866
4,0.6453546453546454,0.0026482964052082676,-1.2682591620182495,0.4173980951879995
5,0.5734265734265734,0.0033416936636879407,-7.149148868470938,0.2045647262614821
6,0.6753246753246753,0.00256814572436547,-2.0165817432466104,0.3920793801381753
7,0.5644355644355644,0.00512482414979761,-12.363308681691878,0.20069226160784098
8,0.6813186813186813,0.005919138356936799,0.024903531353372754,0.3977245704853186
9,0.5554445554445554,0.0028370151384193307,-6.632795861885923,0.31008735035489854
10,0.5624375624375625,0.0031132210920003884,-17.468575118703203,0.13258533432110703
11,0.6663336663336663,0.004130495401910671,-0.8010499165420315,0.4361524664373515
12,0.6353646353646354,0.0034176436953968757,-0.7337429664831943,0.3796295814748395
13,0.37362637362637363,0.003728215934924761,-17.67737000487797,-0.26556376414238547
14,0.36063936063936064,0.005691940821403201,-3.726590932464137,-0.330509259616647
15,0.5704295704295704,0.00307490147495678,-17.95849483119378,0.17896867841877917
16,0.6053946053946054,0.002663820145472076,-9.874665280445251,0.3094692682665453
17,0.6233766233766234,0.003259347783569374,-1.9753907639532593,0.4217951196335715
18,0.4885114885114885,0.004077639354981919,-5.236708603737992,-0.16978189473243466
19,0.5914085914085914,0.0028509306763319984,-6.576229512346423,0.33326683614347496
20,0.6123876123876124,0.0028215573534007016,-2.4557257368947516,0.3239010754464303
21,0.6093906093906094,0.002672812871802608,-2.859338333306364,0.33717273415625504
22,0.5674325674325674,0.0027499852447987155,-4.841732962174376,0.37606883705357197
23,0.6013986013986014,0.0032037450533799294,-1.4209631401522969,0.40627882043887054
24,0.6513486513486514,0.0026944148014575947,-4.495605934086029,0.317016085353778
25,0.7042957042957043,0.0033387019149304044,-0.8726828498823294,0.44106471570712824
26,0.6263736263736264,0.0027014558633838225,-2.079506730480534,0.4276346786419439
27,0.6063936063936064,0.002971112876179927,-2.677088746671652,0.4416963228785066
28,0.6603396603396603,0.0027879039434625503,-0.8515815125550341,0.40196610602554783
29,0.6673326673326674,0.003076516920931884,-0.6816112384346666,0.3862984229490589
30,0.6423576423576424,0.002691507144845036,-1.9491253134928526,0.3834683116078448
31,0.6073926073926074,0.002742951210253722,-4.100381038973497,0.42046690532109504
32,0.6823176823176823,0.0029478867085301853,-1.4165296099593512,0.42308679548213335
33,0.6963036963036963,0.002754479947658135,-0.7762056253924101,0.41367694993568827
34,0.6373626373626373,0.002941903096575895,-1.9634968110397595,0.41965460956442424
35,0.3546453546453546,0.004524779476743927,-7.47188847892126,-0.32107276250891736
36,0.28471528471528473,0.005036018409519092,-8.060087881159319,-0.49812991532290024
37,0.6273726273726273,0.003537537941195122,-0.9541602970169085,0.4007465649888228
38,0.5734265734265734,0.0031675768618832753,-3.4215706213887342,0.4010074283909756
39,0.5874125874125874,0.002695762047272236,-6.375495595670209,0.2955998636061717
40,0.5114885114885115,0.0029447235221779374,-4.447441637427791,0.25525178301936685
41,0.5924075924075924,0.0028568897606560694,-25.336874455163212,0.21400840635308904
42,0.5984015984015985,0.0027711038373460246,-10.734319110853333,0.3457587418500044
43,0.6543456543456544,0.002760000548217284,-3.543602232849743,0.38555768608464613
44,0.5604395604395604,0.0027055662582596155,-5.235696068486287,0.3025096079091907
45,0.5994005994005994,0.0034075469471606845,-2.4033721560513386,0.3985867188186193
46,0.6593406593406593,0.0025961766940005323,-2.470637198301479,0.3700952658411225
47,0.6473526473526473,0.0027745526794709452,-4.287143756748833,0.3464572353689583
48,0.5644355644355644,0.00354795930906825,-10.45171674670269,0.3459806949102584
49,0.5074925074925075,0.003001392189810474,-7.485214518867862,0.14518807385679336
50,0.6293706293706294,0.0034193771944142234,-1.2936273525362227,0.42205787341542306
51,0.6023976023976024,0.002863939779666811,-8.391493052817404,0.20285240077225475
52,0.46253746253746253,0.0034462479576479895,-13.036428556284534,-0.14439118031877757
53,0.6453546453546454,0.005401109838801736,-0.5172740832968703,0.4236742744571036
54,0.5434565434565435,0.002937727945123593,-14.715575972945706,0.13323381136273754
55,0.6803196803196803,0.0028999256940014265,-0.9283903086702257,0.39394530236055814
56,0.6053946053946054,0.003093443473815141,-5.272917292070638,0.2298018286465074
57,0.6063936063936064,0.002826376301160146,-2.4173466717242933,0.4141564787695651
58,0.6363636363636364,0.002548432068396175,-5.209899569625951,0.42586853255463564
59,0.6093906093906094,0.0026300201675221405,-8.793559523087566,0.39981262103872206
60,0.6563436563436563,0.003190609779462421,-0.6829796190147368,0.4229361414508746
61,0.6393606393606394,0.0027903636996923276,-1.80944456313357,0.3804079622816407
62,0.3006993006993007,0.004153078623467579,-13.924233874569067,-0.42435704590332535
63,0.6583416583416584,0.0027994791575926886,-1.2031360040349468,0.39946711673022883
64,0.6013986013986014,0.0027347358140627277,-6.001139573044621,0.2855920798658861
65,0.5154845154845155,0.003404983231140678,-5.434796192385054,0.043209852156571284
66,0.6773226773226774,0.002626884961113633,-2.0544800914908485,0.43464848244843957
67,0.5754245754245755,0.0026512528402840773,-4.431324744249638,0.37177342423519444
68,0.6403596403596403,0.0025973494230201928,-2.6635659654018804,0.3766962349402483
69,0.6133866133866134,0.002606336277212856,-3.7927390019420457,0.3790237500567223
70,0.6923076923076923,0.002858280110213031,-0.8691932737538146,0.3879751109482556
71,0.6333666333666333,0.005427263402849698,-0.833163071711748,0.4056274768628103
72,0.5894105894105894,0.0030627066111635266,-9.690028207148433,0.19852854553544255
73,0.5994005994005994,0.0028757952475230203,-5.31934136951692,0.2492812146013521
74,0.5754245754245755,0.0026621437153850117,-5.872428898207992,0.33252911664888496
75,0.7112887112887113,0.0032072145419293325,-0.6295858815165749,0.42408740333490463
76,0.6933066933066933,0.00249278291881321,-1.5810390563366972,0.4286331063681038
77,0.6643356643356644,0.0026026939351160142,-3.788651187914021,0.38048917955506695
78,0.5644355644355644,0.003363559367602417,-30.628791413445786,-0.16244923272864348
79,0.6233766233766234,0.0026212128256851595,-4.234416375235131,0.3728708154730488
80,0.5194805194805194,0.003513647363164921,-3.1717443061501163,0.1253407768544818
81,0.6033966033966034,0.0028812930052045473,-6.6995370606684315,0.26585617808069273
82,0.5744255744255744,0.002685017797175068,-11.961377518126527,0.3254004515809622
83,0.44555444555444557,0.0045729647905576945,-6.309527236978131,-0.3201530155416902
84,0.5154845154845155,0.0032428945268863246,-18.15677024906233,-0.03607921948334385
85,0.6783216783216783,0.0036022140465499803,-0.48741013283783396,0.4395473501394571
86,0.5734265734265734,0.0028508677315737816,-3.7761004236535056,0.31012877586046844
87,0.6103896103896104,0.0036588173076040373,-3.0153748265795377,0.4743103281312008
88,0.5954045954045954,0.0030970462893777344,-5.617148377011409,0.32189808393524016
89,0.6853146853146853,0.0033707068403515147,-0.7886106470153493,0.4481537232360361
90,0.47652347652347654,0.003268488535796363,-7.218392298185073,0.03337254656443778
91,0.5844155844155844,0.0028813858159747645,-21.588894085330868,0.29307726854405736
92,0.6313686313686314,0.0026945640061406,-1.6473449333365386,0.3775071476271873
93,0.5744255744255744,0.0028248624201613498,-9.171137574407037,0.2650513671001573
94,0.3166833166833167,0.006089902756711613,-6.078045335597377,-0.49198880053677774
95,0.6143856143856143,0.0030203394118407654,-2.77845427182044,0.39872090948622885
96,0.6203796203796204,0.002908092388883907,-1.7114492045821788,0.3916078971639553
97,0.6733266733266733,0.0033627072734420836,-0.5524834384903321,0.3725945891001233
98,0.6003996003996004,0.0029917318647160645,-2.2179727173847086,0.39668210014240235
99,0.6033966033966034,0.0028967648603965713,-9.611471121892023,0.29108146947062685
ensemble_result,0.6083916083916084,0.002586875551358522,-5.223790852048199,0.41168870150245246
