,lookback,accuracy,mse,r_square,pcc
0,12,0.5023771790808241,0.006858788249728568,-1.236472255505293,-0.049476730244571936
1,18,0.5538827258320127,0.00468567411339512,-0.5278763203343189,0.018363430808378583
2,24,0.53486529318542,0.004130734804882902,-0.3469250616296953,0.015833141319248865
3,30,0.6148969889064976,0.0035231904872724913,-0.14882067921500974,0.13796001166833874
4,36,0.633122028526149,0.0031994137407722733,-0.04324551285028577,0.19536938231617412
5,42,0.5824088748019017,0.003172942238395048,-0.03461384520395616,0.16951913789839396
6,48,0.595879556259905,0.00312455483549736,-0.01883597305563356,0.19904565118106432
7,54,0.5935023771790808,0.0030382789030771354,0.009296362008554881,0.23150831971916452
8,60,0.6125198098256736,0.003009483799369031,0.018685695545731962,0.21651129647283013
9,66,0.6141045958795562,0.002953018782936188,0.03709746713872453,0.23099223118161566
10,72,0.5927099841521395,0.002959291362957408,0.035052142122538266,0.21523423927401175
11,78,0.5927099841521395,0.002956152583678261,0.03607561631628431,0.21568438307567522
12,84,0.5998415213946118,0.002921017673950646,0.04753219551722465,0.23380313119768403
13,90,0.6109350237717908,0.00288035635833664,0.06079079177825775,0.25152452850062007
14,96,0.5927099841521395,0.002866125861893882,0.06543098612709985,0.25772465346077444
15,102,0.626782884310618,0.0028797401259831653,0.06099172910294415,0.24877897445966035
16,108,0.626782884310618,0.0028760049170238797,0.06220968348523426,0.25063517854056483
17,114,0.6767036450079239,0.0028194830491158973,0.0806399928639413,0.28487118645329035
18,120,0.6822503961965135,0.0027555004091278723,0.10150306575044765,0.32329896506083644
19,126,0.6798732171156894,0.002723338557636844,0.11199020807448923,0.34384403014133075
