,lookback,accuracy,mse,r_square,pcc
0,12,0.44532488114104596,0.18933314455505784,-60.736608483534575,-0.13422285845706866
1,18,0.45245641838351824,0.05441907733718638,-16.74464412713582,-0.11933003912754636
2,24,0.4659270998415214,0.04526650788320559,-13.760229547603739,-0.04425896322725274
3,30,0.5221870047543582,0.04231943756540076,-12.799266654332541,-0.08731784706603443
4,36,0.5206022187004754,0.031382032337632954,-9.23286360345992,0.010975488552361945
5,42,0.4976228209191759,0.015633548962477664,-4.097693242104176,-0.0010808570993738288
6,48,0.4960380348652932,0.011583923054731361,-2.777215679874659,-0.02154914101558501
7,54,0.5095087163232963,0.00751614259619296,-1.450818391349567,0.07119021653702999
8,60,0.5,0.009099515011930253,-1.9671149074388317,-0.03862653000608872
9,66,0.554675118858954,0.007067826110678511,-1.304634058923444,0.06996459166138741
10,72,0.5475435816164818,0.007309411416011406,-1.3834087364674224,0.020684824513550238
11,78,0.5309033280507132,0.0077604027434097335,-1.53046526518294,-0.0255633697383614
12,84,0.5182250396196514,0.007095683205017753,-1.3137175320298158,-0.028558310186757738
13,90,0.5079239302694136,0.0066417089481242645,-1.1656883476770115,-0.0036448952676037
14,96,0.46671949286846276,0.006120949891192548,-0.9958823790094444,-0.047107588843753725
15,102,0.49524564183835185,0.005050204046711627,-0.64674003976695,0.03455697177943301
16,108,0.5515055467511886,0.004413146609487917,-0.43901219752447895,0.12492385891261265
17,114,0.5713153724247226,0.0047858013664624005,-0.5605252103935496,0.15132284967325701
18,120,0.6077654516640254,0.0044590463615256275,-0.45397891150212266,0.23479011908423275
19,126,0.6220285261489699,0.004529850400219119,-0.4770662648873192,0.2419204093266772
