,lookback,horizon,accuracy,mse,r_square,pcc
0,12,24,0.5148648648648648,0.47054900755884566,-34.890492273403495,0.02138914671056127
1,18,24,0.5986486486486486,0.10050000686572946,-6.665502767935133,0.07903754804483293
2,24,24,0.6378378378378379,0.21140604676080196,-15.124711700450185,0.05322784793324592
3,30,24,0.6418918918918919,0.13704299301176612,-9.452769855640978,0.04265319926449715
4,36,24,0.6108108108108108,0.06294806361526573,-3.801278834972087,0.05758242465090674
5,42,24,0.6256756756756757,0.0489625740092797,-2.734554437342507,0.03065200180668051
6,48,24,0.6229729729729729,0.034892071823666854,-1.6613458196142226,0.02232837403134668
7,54,24,0.49594594594594593,0.039222044567444055,-1.9916086632461876,-0.024903187570176042
8,60,24,0.522972972972973,0.021774716971135484,-0.6608372319441203,-0.05661465312593549
9,66,24,0.518918918918919,0.034037979895863955,-1.5962011072821012,0.0001056387096084097
10,72,24,0.5405405405405406,0.02647319007706456,-1.019206944761022,0.0361216587260171
11,78,24,0.5378378378378378,0.027781965621669538,-1.1190320380386654,0.06772470163436553
12,84,24,0.5945945945945946,0.025238635768461998,-0.9250429763704262,0.09394339035836236
13,90,24,0.4837837837837838,0.02516190122352658,-0.9191901522269954,0.05691073334296576
14,96,24,0.5351351351351351,0.026975225425863707,-1.0574990153373216,0.05749260694644309
15,102,24,0.522972972972973,0.025845201740957748,-0.9713079795889181,0.0375410423750051
16,108,24,0.5108108108108108,0.02226253235203034,-0.6980446936061548,-0.024224522643075647
17,114,24,0.5121621621621621,0.018855618526468915,-0.4381869266823293,0.003549287483550453
18,120,24,0.504054054054054,0.017904167213415347,-0.3656162582692244,-0.06898722930513199
19,126,24,0.5013513513513513,0.018750995414694185,-0.4302069396364514,-0.1620038843576206
